"Reviewer Name","Rating","Comment","Review Date","ID","Created Date","Updated Date","Owner","reviwer_desigination","company","logo","company_logo"
"Karan Sharma",5,"<p class=""font_8"">I highly recommend Riya to&nbsp;anybody&nbsp;needing help in&nbsp;marketing, corporate communications and PR. She is a self-starter with commendable storytelling, analytical and writing skills, all of which make her an excellent marketer.&nbsp; Her knowledge&nbsp;helped us create highly targeted content and scale our outreach.</p>","2024-04-22","04d04f05-8a9f-441c-8cfe-b76ee8a07f5d",2025-05-13T22:50:30Z,2025-05-15T19:16:48Z,"0a34ae53-aa8b-4419-b796-14320907343d","Founder","Hubsell","wix:vector://v1/0a34ae_474691e6005f439dbce5e7af5bdd43b1.svg/LinkedIn_icon.svg","wix:vector://v1/0a34ae_69425003da104d82961ad84b23538111.svg/66fc616e86f1ff1f90d57b02_hubsell%20logo%20light%20grey.svg"
"Danish Usmani",5,"<p class=""font_8"">It was a pleasant experience working with Riya. She exhibited exceptional talent for copywriting, demonstrating a keen ability to craft compelling narratives that resonate with our target audience.&nbsp;&nbsp;A quick learner and someone who could always think on her feet, she added great value to our team.<br>
I will not miss a chance to work with her again.</p>","2024-05-10","63de9bfc-f5de-4e6a-a1ce-07b44769198a",2025-05-13T22:50:30Z,2025-05-14T18:48:45Z,"0a34ae53-aa8b-4419-b796-14320907343d","CEO","Opensense Labs","wix:vector://v1/0a34ae_474691e6005f439dbce5e7af5bdd43b1.svg/LinkedIn_icon.svg","wix:vector://v1/0a34ae_7741b96aa31f44afaa6f3c012ed8d6b8.svg/id8NPhhouE_logos.svg"
"Olha Tkachenko",5,"<p class=""font_8"">It's a pleasure to work with Riya! All comms were done perfectly, she's well-structured and ready to implement changes if needed. All the text were selling and catchy. Will definitely go on cooperating with Riya and highly recommend her as TOP professional. Thank you!</p>",,"b78dc918-d6cc-4158-beb1-a89ad8816a23",2025-05-15T19:12:26Z,2025-05-17T04:28:17Z,"0a34ae53-aa8b-4419-b796-14320907343d","Product Manager","Parimatch","wix:vector://v1/0a34ae_6d8f4d8cc99148deb9bd8999e91f7bc5.svg/upwork-roundedsquare-1.svg","wix:vector://v1/0a34ae_43ca0fa7067343dab967a521fd731cbe.svg/parimatch-logo-vector.svg"
"Manisha Dubey",5,"<p class=""font_8"">Riya is brilliant at creating internal as well as external communications. She successfully executed&nbsp;various campaigns for us internally for employees as well as externally for clients and potential customers. She has a good understanding of technology and does a great job in defining the target audience, creating content and executing using various marketing tools and platforms.</p>","2024-06-01","cc0f60f6-b1c7-4ec8-bf71-35d4ccf9b3f5",2025-05-13T22:50:30Z,2025-05-14T18:49:01Z,"0a34ae53-aa8b-4419-b796-14320907343d","VP Marketing & Communications","IDEMIA","wix:vector://v1/0a34ae_474691e6005f439dbce5e7af5bdd43b1.svg/LinkedIn_icon.svg","wix:vector://v1/0a34ae_f6d633bb48f04e2db1f39ca6dc5cdc39.svg/IDEMIA_logo.svg"
